log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-2.4998867333023975 0.23652216148970256 0.2679224790495202 -1.2527336097891917 0.03570072096344428 0.25943210227354646 0.6542088551529969 0.0 40.0 0.0 -190.33534613391714 6.1104644255286376
-2.9605469460837996 0.22145336518305042 0.2961981489927855 -1.3236363279772605 0.03274713322691306 0.2681170583658481 0.48117398059138616 0.0 40.0 0.0 -190.22462004260498 5.836754103744669
-2.81464851736519 0.24121419619156081 0.2490214428509585 -1.4522698120796258 0.03261954274993769 0.2871742326559955 0.19126309793895357 0.0 40.0 0.0 -190.14668599241 4.9469610984342225
-2.3819176448749033 0.23270860962318785 0.2890754021409353 -1.0925068487508303 0.03569391157808958 0.33540498430495713 0.7519371929746779 0.0 40.0 0.0 -189.57302557631053 6.225990763643099
-2.378193138725008 0.20590462555482353 0.281351445852443 -1.1278374509272862 0.03266271850929118 0.34910876949637193 0.554644489550351 0.0 40.0 0.0 -189.24611299671508 5.965934849564577
-2.458097094218469 0.2127932105976796 0.27963705825967927 -1.1654775995322 0.03167926249018326 0.3468643686630304 0.5727353194711425 0.0 40.0 0.0 -189.11574484621053 5.994557706962691
-2.5617855207118647 0.18962524158690502 0.2984486857370005 -1.3607769475860738 0.03139088895688971 0.2877870259730519 0.1464995071444393 0.0 40.0 0.0 -188.8824145142267 4.682858006859867
-2.4394232470049393 0.2113578531417204 0.29177872342841565 -1.313589529152844 0.030665413834214277 0.3215171288503646 0.3824148344523363 0.0 40.0 0.0 -188.82376822150624 5.621428049440418
-2.2523269795747183 0.21206218237388752 0.2846662440227872 -1.4597030975676986 0.030108263213739633 0.24750519199210952 0.46970151638531227 0.0 40.0 0.0 -188.8149589133522 5.814468768141272
-2.230044053772111 0.22416720667605539 0.29075439468133846 -1.1663441452066323 0.030483907833751253 0.33292103677551005 0.7179229971409075 0.0 40.0 0.0 -188.71626439224082 6.188349517904413
