log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-2.8485953226694294 0.2377572363831139 0.2765663926760621 -1.5162687778172979 0.03209129978734909 0.2482041258954309 0.3952626127107274 0.0 40.0 0.0 -191.03157601522227 9.368188929569113
-2.8068940165604213 0.1711995128910856 0.27126771341613165 -1.1479402336883162 0.03293945505866551 0.34741212930713594 0.3284801741885891 0.0 40.0 0.0 -190.5391023561941 9.021493025405183
-2.589605505785257 0.2260860495686563 0.23861571229917766 -1.3322817846975124 0.030127799291726584 0.24585104668163826 0.3696869143636519 0.0 40.0 0.0 -190.29162095515494 9.512192300970284
-2.4420249852358027 0.23985421269788812 0.28327048540173466 -1.291743047247687 0.04541457956868666 0.23818602932030125 0.3818131295661049 0.0 40.0 0.0 -189.80802570885956 9.4867477093758
-2.653029232735417 0.24855134596740436 0.23300168537115595 -1.217332907666186 0.03216800291780985 0.30642974792286815 0.3986784568246563 0.0 40.0 0.0 -189.77534130820763 9.322948239283507
-2.552133748510603 0.21865014036158492 0.25047152149108043 -1.316635611211212 0.03450863539823144 0.21962328567539705 0.31250282281738617 0.0 40.0 0.0 -189.65794373768742 8.591284108609013
-2.4998860449420737 0.21656992316944873 0.2816557992536889 -1.532529671010551 0.03110219281749512 0.2427669445938285 0.3413010431647829 0.0 40.0 0.0 -189.6484479506995 9.26974420249869
-2.116203992108362 0.23219998643755085 0.26740996878840434 -1.2731662910328954 0.0331366850014428 0.2953080171129367 0.4027706110945273 0.0 40.0 0.0 -189.53208309542396 9.260681403759516
-2.4890586516315905 0.22994903887202545 0.28005154677176847 -1.189170239291439 0.04334608551410303 0.2362035794485282 0.3990779564076461 0.0 40.0 0.0 -189.39458566729226 9.317256820829204
-2.090757335785134 0.21518026155904502 0.2572110737732727 -1.291325311825819 0.03529755159592655 0.2400131785350716 0.3845297958360485 0.0 40.0 0.0 -189.36172759902354 9.470457445128142
