log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-1.8312438832882014 0.2256683497499199 0.23017381627454714 -1.3090920565885007 0.032358169792604974 0.20436329750822047 0.3315747842927328 0.0 40.0 0.0 -153.8338637274566 5.484877637145511
-2.6004431383991395 0.2350253482061893 0.22499659622256757 -1.2837052484684541 0.03263908481389491 0.20163420398234352 0.46020154102392796 0.0 40.0 0.0 -152.6592043962612 5.795529883883166
-2.858436193048772 0.2251740864556777 0.24599719630364342 -1.6261220290711855 0.03100868346568754 0.2064199075442778 0.42404688374550786 0.0 40.0 0.0 -151.6636222971932 5.719108542827957
-2.095256361344219 0.21280952614013413 0.29184377845983356 -1.2758464133616865 0.031483081079935964 0.20893677298551738 0.6831488209815875 0.0 40.0 0.0 -151.32351625129598 6.147099031847726
-2.328024685493456 0.22094794124337278 0.27782658636949664 -1.2214134498667883 0.03136255280144868 0.205467398622918 0.7198275768480579 0.0 40.0 0.0 -151.2218607061835 6.19052598304331
-2.7604210289403803 0.2376262281619841 0.29831862840679857 -1.1882907840487449 0.03902629742983516 0.20428739413822308 0.3787291422586248 0.0 40.0 0.0 -151.22034747872044 5.612215496299359
-2.0792226894925383 0.12232784226997231 0.2593954664893606 -1.2864136128845343 0.031631218643575626 0.2057478515788594 0.2608551785611682 0.0 40.0 0.0 -150.9927599887667 5.252014165669569
-2.28567247583967 0.2463961397361821 0.2931194569699501 -1.2220308148777628 0.041024208777946915 0.20040739957381296 0.4204154253188827 0.0 40.0 0.0 -150.94103508887105 5.7110251338895335
-2.1781686942201683 0.21596489156647364 0.29573071380486815 -1.4628157160440352 0.030248174362131265 0.21303888636397406 0.582057358247197 0.0 40.0 0.0 -150.87759588568534 6.008867654296754
-2.303449847475379 0.24075586669120644 0.2745543435886667 -1.419986722860818 0.031878319489735685 0.21188901890575926 0.6610606950239526 0.0 40.0 0.0 -150.82813243788314 6.119336258766351
-2.6196815359260475 0.13074334373723034 0.29172086547971976 -1.068781511679476 0.03514040376415698 0.20536905856753743 0.3317625262180585 0.0 40.0 0.0 -150.72148848157238 5.485422779956602
-2.1294817512648354 0.17962710590957687 0.29947676222988784 -1.222049482942111 0.03156726754405769 0.2029139297400904 0.6638357603306435 0.0 40.0 0.0 -150.7089938020291 6.122893879926865
-2.8294294045015214 0.24193920024082388 0.27710514383295326 -1.374534681520178 0.03184698038961192 0.2020289951861544 0.8616533414451637 0.0 40.0 0.0 -150.6420098591362 6.331312193814037
-2.334646935166391 0.17890569436377135 0.2869853078525161 -1.3810322729346356 0.03190583976427477 0.207627071260926 0.40034974215360564 0.0 40.0 0.0 -150.57234349808442 5.6648965334705546
-2.0593752426165777 0.22850481053125815 0.28962680393172097 -1.475322460265048 0.03145548734859159 0.20405512848059204 0.7239006696535042 0.0 40.0 0.0 -150.55797098205196 6.1951525596175445
-2.703247476542281 0.2361164401728052 0.29465973100223053 -1.3803234065177625 0.031936798449982116 0.21702565193310083 0.815715737829797 0.0 40.0 0.0 -150.30208040693708 6.2900136615446325
-2.71865717621989 0.22600605558741466 0.21337725548829284 -1.408679424842135 0.030563603914339186 0.20664459627388387 0.3469127677398471 0.0 40.0 0.0 -150.29619906082442 5.528349717434442
-2.4995602913644497 0.2112486431284073 0.26887517378621684 -1.2382016412444852 0.03358917765691196 0.20038087685535 0.4371713978180555 0.0 40.0 0.0 -150.1880667594499 5.747682294357816
-2.854130479149713 0.211857624086464 0.2812839240356068 -1.2723091946622942 0.03484473994464121 0.21245190196814315 0.40626610562868265 0.0 40.0 0.0 -150.18211018201032 5.678762257218585
-2.1166096238676975 0.17204551014269465 0.27570816553795574 -1.269454640770833 0.03071578243231549 0.2021497766998237 0.3994419169381413 0.0 40.0 0.0 -150.17427019575285 5.662748700179243
-2.6944398547760358 0.14414925618951507 0.2524838530786085 -1.176391502722505 0.03204256867669078 0.20472585603464577 0.09850172370466581 0.0 40.0 0.0 -150.1655658206012 4.287871948691581
-2.949156311478174 0.22161100725279498 0.2606725152945838 -1.359879607496466 0.03141196581658028 0.21124822574399058 0.7850116508425811 0.0 40.0 0.0 -150.1548685965143 6.260210549429644
-2.5192603714570407 0.22573440525037602 0.26237167645602333 -1.2288286775805404 0.035102201882652756 0.203937850510527 0.5270531277943377 0.0 40.0 0.0 -150.13845331440456 5.919982964267184
-2.6298619200008098 0.21782216137152044 0.29648489338028616 -1.3432425271997674 0.03573466277028516 0.21081210974497996 0.30805205936857233 0.0 40.0 0.0 -150.10103719991383 5.413817970605294
-2.815649451905109 0.24778012804055993 0.2694394136375935 -1.2670626656389539 0.037785123579210766 0.2093422458372999 0.3120527590320429 0.0 40.0 0.0 -150.0991255522006 5.426305300937203
-2.9296539087288513 0.21435566846917087 0.28289038177415426 -1.2997629633609589 0.03328024474422561 0.21355313611417337 0.7099817536343906 0.0 40.0 0.0 -150.08614055010898 6.179183870982143
-2.582161812638594 0.24019128820102187 0.22554455794817235 -1.4937005401767651 0.031129035982855727 0.20904143632285782 0.4235180542874131 0.0 40.0 0.0 -150.07934657724684 5.717936276023068
-2.4770843476312394 0.16922304399744054 0.2870214337368322 -1.1866285160206949 0.030585550477275583 0.2068597562823874 0.6454922815423598 0.0 40.0 0.0 -150.07527232565155 6.098994578027586
-2.293936402512192 0.21611452892935634 0.2751855617221426 -1.3151807881569568 0.03029858754550288 0.20088144950612571 0.8083413371091638 0.0 40.0 0.0 -150.05840160358665 6.2830218666794835
-2.239502981323464 0.22250937045805474 0.26798545314074385 -1.478345938687595 0.030509968762579272 0.21044810740402733 0.5114479033160879 0.0 40.0 0.0 -150.0037305847128 5.8926781884921375
-2.2777780367655875 0.18844589397051054 0.2856350629775751 -1.3757100821923853 0.031112676658083642 0.20906538121177842 0.4659267484170942 0.0 40.0 0.0 -149.99131086108443 5.806997177436813
-2.238334424147923 0.2343842190111653 0.2681182652068922 -1.2409338771664626 0.034703444317500026 0.20598082593851025 0.5566496317933609 0.0 40.0 0.0 -149.9793424819716 5.969164255220436
-2.8971152987334987 0.23536209046332301 0.25116852466825945 -1.4469308421303442 0.03415807512957844 0.21397667807889925 0.1453048197480379 0.0 40.0 0.0 -149.97333825947064 4.674727868765974
-2.0769916387120153 0.18418871467355796 0.2729644315068093 -1.3251046371526556 0.030423117725915577 0.20263096892878923 0.43443549028724393 0.0 40.0 0.0 -149.96470518191748 5.741806990691808
-2.5698319681402904 0.13580676324202742 0.28867820179130904 -1.1176579529712694 0.0325075894326087 0.211437000788911 0.5206963586733537 0.0 40.0 0.0 -149.93632316161126 5.9089795828057134
-2.9494354017459004 0.21628832989266583 0.24589233920313472 -1.367485500103645 0.03389445421071053 0.21155792351386912 0.35199561408109264 0.0 40.0 0.0 -149.92652027584572 5.542298123207814
-2.550343430790964 0.21369536107750053 0.28734977545893226 -1.3593322946652302 0.03376841327366036 0.2081005340053621 0.1816829439436249 0.0 40.0 0.0 -149.90966865843632 4.89617110979191
