

    0.106946834035039684E-98    0.747753177939147463E+03   -0.285738361477851877E+01    0.166504679322242721E+00    0.220973154902458169E+00   -0.135631097078323370E+01    0.551455307006835926E-01    0.255974614620208762E+00    0.314151105118110618E+00
    0.119114782069158510E-98    0.747535713312886855E+03   -0.278544253828141652E+01    0.157034272242296880E+00    0.274780735798509423E+00   -0.125034907663345329E+01    0.659493172977934916E-01    0.210750681506607668E+00    0.382592904649073640E+00
    0.126946588401807474E-98    0.747406402486283923E+03   -0.189436190737976640E+01    0.172540505692025031E+00    0.206470024779840639E+00   -0.125087039299819569E+01    0.487679860934373544E-01    0.329976686747906034E+00    0.380232867083840298E+00
    0.148030041520537170E-98    0.747097151756921676E+03   -0.273773053838055169E+01    0.153152365187451456E+00    0.262642301205654238E+00   -0.113893258551307275E+01    0.738958567358014573E-01    0.305818481011062071E+00    0.380386709266024359E+00
    0.298930218496575190E-98    0.745689608778350930E+03   -0.296586726318256888E+01    0.175845958676529468E+00    0.276159748088541934E+00   -0.998217980186659082E+00    0.104613334021749327E+00    0.308363841900322677E+00    0.371262847790835182E+00
    0.399147100045676851E-98    0.745109415938265442E+03   -0.253436206579208356E+01    0.235008636713027963E+00    0.237683057785034180E+00   -0.910739405155182036E+00    0.619907069206237782E-01    0.384812676906585716E+00    0.358247758792663018E+00
    0.661894527353762715E-98    0.744095910416737979E+03   -0.275260972550722549E+01    0.146430693716853411E+00    0.216841249628421717E+00   -0.149161501584818712E+01    0.392690676823684998E-01    0.314684852031967999E+00    0.334056716391417596E+00
    0.706271574498701785E-98    0.743964170069833244E+03   -0.278249822967814398E+01    0.159643140311996751E+00    0.209981724264961228E+00   -0.129190454352506512E+01    0.570139828162311291E-01    0.262693198824544227E+00    0.321787058626699374E+00
    0.742020170131088187E-98    0.743863463752221037E+03   -0.268855691888819637E+01    0.221271924155984623E+00    0.273128011197832699E+00   -0.145177272689710524E+01    0.564541340019425880E-01    0.273287556741107329E+00    0.379389439987099786E+00
    0.777706519370816124E-98    0.743767565022642543E+03   -0.221507881195912049E+01    0.207245424869594602E+00    0.187362956712288115E+00   -0.122083614435443621E+01    0.457274570203750064E-01    0.330146745156918942E+00    0.413563732022735386E+00
    0.111346944393061684E-97    0.743047838265031828E+03   -0.194293693900108333E+01    0.233340850472450262E+00    0.162270882725715632E+00   -0.952347229719162192E+00    0.657645034790038940E-01    0.313105690479278609E+00    0.276271187029359822E+00
    0.130492728447036336E-97    0.742728552034763084E+03   -0.225203021325561759E+01    0.185619232722772698E+00    0.243446074089335496E+00   -0.125684168602895485E+01    0.566877927705299461E-01    0.312201951363434538E+00    0.401425687752123783E+00
    0.149967262497352217E-97    0.742448399878241844E+03   -0.205377922970680826E+01    0.130710109883732162E+00    0.230905603103454260E+00   -0.111998175193184402E+01    0.806972430421070280E-01    0.270554779836639503E+00    0.346735536986024218E+00
    0.188456990934710410E-97    0.741989541161655097E+03   -0.256528263879751250E+01    0.152091512853153393E+00    0.262368179805289481E+00   -0.178166141603110950E+01    0.370874794626556772E-01    0.241467651473025596E+00    0.339702218562476010E+00
    0.247296304210878975E-97    0.741444153209042838E+03   -0.266726780404046693E+01    0.157821342462135666E+00    0.211766857466423486E+00   -0.980067838493206445E+00    0.747446289885490972E-01    0.216594435997555484E+00    0.464471762811317856E+00
