   -0.258699898098034620E+01    0.123145855958730163E+00    0.264137491625552556E+00   -0.995748328137801009E+00    0.342561925712547705E-01    0.219353187382660964E+00    0.832926935852206785E+00   -0.151966161382419557E+03
   -0.246372988835249407E+01    0.127088242823186537E+00    0.298328219247204762E+00   -0.111790223425191160E+01    0.300329868594199322E-01    0.291455374973485670E+00    0.860349832708624973E+00   -0.150969833296521614E+03
   -0.227935630347930607E+01    0.210255600314228630E+00    0.275124919016701330E+00   -0.138224963999648587E+01    0.354797024521728427E-01    0.205565467665598134E+00    0.323010319391017209E+00   -0.150928271699490153E+03
   -0.243816154783513639E+01    0.132574016609119105E+00    0.257857857557462600E+00   -0.131298191621565286E+01    0.304105131628951940E-01    0.220082341678408205E+00    0.364510409011824854E+00   -0.150855993396922827E+03
   -0.264463808597169692E+01    0.156882793411690785E+00    0.291151323606523238E+00   -0.112185466494302455E+01    0.315096302803086412E-01    0.215307517734473264E+00    0.700999270785289008E+00   -0.150528540430283613E+03
   -0.231892990611852490E+01    0.210586947681255104E+00    0.278357802710234359E+00   -0.122837687553101271E+01    0.309932188003490157E-01    0.211837642887850452E+00    0.732632270604117952E+00   -0.150451228986395392E+03
   -0.279677125680632699E+01    0.239662182044903027E+00    0.234753105537471612E+00   -0.140747490565003686E+01    0.307241884256272170E-01    0.208008727747669292E+00    0.438511059570462880E+00   -0.150203651792620462E+03
   -0.202652482118537502E+01    0.219658374265196188E+00    0.284361567084644717E+00   -0.153534176664684807E+01    0.324476014595484752E-01    0.207977567672502334E+00    0.353819035723876962E+00   -0.150116181559493015E+03
   -0.269607899948165075E+01    0.239410575271406578E+00    0.297186959509058601E+00   -0.122893603863203604E+01    0.349609922458143096E-01    0.212840174418367778E+00    0.763742787715995464E+00   -0.150064569318864727E+03
   -0.192434103900125808E+01    0.221503118155618295E+00    0.267993260829384128E+00   -0.140128086532826845E+01    0.333161872826063382E-01    0.202344180995801176E+00    0.497555955041792730E+00   -0.149965112721802853E+03
   -0.290526209101514921E+01    0.225666970057592453E+00    0.221887530748663464E+00   -0.149323841179491712E+01    0.307529241529707446E-01    0.215876900911946223E+00    0.296580738742851679E+00   -0.149562146104943935E+03
   -0.242661740097935397E+01    0.169861290716921187E+00    0.265059110769001793E+00   -0.130308036456055709E+01    0.321157066304453495E-01    0.211582037425748326E+00    0.333964068702010342E+00   -0.149449502682052810E+03
   -0.292705451177763232E+01    0.167513707849969495E+00    0.247939508413117182E+00   -0.120157174308045889E+01    0.333266150869669306E-01    0.202784674940226978E+00    0.373504058367626235E+00   -0.149366578019976231E+03
   -0.293060053045170488E+01    0.154260582005767477E+00    0.287046211517340277E+00   -0.111905467467469966E+01    0.345748084705857842E-01    0.204759108933715794E+00    0.608909216288398780E+00   -0.149340210152760733E+03
   -0.240509103837822291E+01    0.198128241982556630E+00    0.278502096409219635E+00   -0.118530765729411613E+01    0.348827524832382371E-01    0.201976324226465692E+00    0.465235151070290898E+00   -0.149336049712587624E+03
   -0.245377034987009335E+01    0.161904458569751691E+00    0.292872871430465254E+00   -0.113229201993960205E+01    0.368065088777560848E-01    0.203915212586774336E+00    0.394925828762688669E+00   -0.149094216305612605E+03
   -0.251692862907511250E+01    0.241081687893719754E+00    0.235446624913912050E+00   -0.132943914441188493E+01    0.312620189145129679E-01    0.203732508602042423E+00    0.652712861386306686E+00   -0.149086819325017132E+03
