log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-2.5146456531490236 0.17635131483816666 0.27073059977169417 -1.3857671687649153 0.045599135152588975 0.2456521541553352 0.35802272062219365 0.0 40.0 0.0 -94.10179674544634 9.46379019257554
-2.2890697062015533 0.1429240119457245 0.15689009428024292 -1.1577064949274063 0.035316588878631594 0.2695270776748657 0.4039683304276901 0.0 40.0 0.0 -93.67451845275275 9.240792793920681
-2.6291707431762594 0.20981642480560964 0.26023572155903096 -1.2999112951053582 0.03307798721970164 0.31041325337682024 0.37688578969367464 0.0 40.0 0.0 -91.99647486796005 9.506402443443736
-2.035429273316974 0.15423367557655998 0.2726855587288788 -1.2461494461263263 0.03442544116271916 0.28776072806848546 0.48370150549883884 0.0 40.0 0.0 -91.73151300320964 6.222107754575503
-2.1742553114891052 0.14678496301174163 0.16412704288959504 -1.0491484767198562 0.030993554592132568 0.3153524160385132 0.34314327454937066 0.0 40.0 0.0 -90.96473601932031 9.29832119857506
-2.3596245888963967 0.17155988065790206 0.27374746028607017 -1.5681781701982596 0.03373957521083299 0.26375143059360523 0.37032207674606393 0.0 40.0 0.0 -90.40852094694499 9.512776345086628
-2.4125345770169675 0.13302931135970691 0.21453435398489895 -1.2210642719166533 0.041218705102906206 0.25879911998468097 0.371254521423137 0.0 40.0 0.0 -90.21938040946064 9.513249865987977
-2.4903478942057835 0.18599789375284573 0.2798491823901738 -1.2889499316943305 0.03236910711090619 0.3323629135026402 0.34599022468785023 0.0 40.0 0.0 -90.14488716660807 9.338977555137795
-1.9086652325742843 0.12543825674181003 0.2071005131091201 -1.1073896670585492 0.040739999044608496 0.33476070041582007 0.40974169480527484 0.0 40.0 0.0 -90.11096515392995 9.134354017989102
-2.02534980483271 0.13181727057277826 0.20938324058073643 -1.1909616961318812 0.039415688721433376 0.2830387805590804 0.39331264071623734 0.0 40.0 0.0 -90.03557307102513 9.39126718229526
-2.3396785965431586 0.143652115776847 0.2512337502481731 -1.1440262559869891 0.04025184968971746 0.2427868006604348 0.42599780449616553 0.0 40.0 0.0 -89.85516892414616 8.740604084737766
-2.38586067056437 0.16169616956743188 0.2527975133460074 -1.0901992535593523 0.04009088815369099 0.2236058055830132 0.33639693040012986 0.0 40.0 0.0 -89.85146902220134 9.18498191127534
-2.5814439794092783 0.14836785520627846 0.2690288442122558 -1.2150157665951538 0.047163094856551735 0.2449123263410097 0.3078969487903522 0.0 40.0 0.0 -89.77186514741445 8.442367764283219
-2.663187800293993 0.20883844768338167 0.2778860713803175 -1.3914472877088908 0.03614853461139994 0.2537823233322849 0.2952705400497194 0.0 40.0 0.0 -89.7327087785298 7.976990515473349
-2.6342305660247805 0.1964271295070648 0.266666641831398 -1.2968685466051102 0.03374002933502197 0.3237956047058106 0.39428811227816346 0.0 40.0 0.0 -89.67259390590034 9.379971959380963
-2.404310789725237 0.1415628455291902 0.24810473934642213 -1.2802727727848349 0.04390037462155881 0.24987225677311556 0.3135404923994441 0.0 40.0 0.0 -89.59480725687177 8.623295902808975
-2.5544971414279436 0.14765104186932043 0.23549545612744427 -1.0981257931010462 0.037736860068158275 0.23311770660062975 0.37991834836496946 0.0 40.0 0.0 -89.58152337400827 9.495814877934865
-2.7124143780059518 0.2170986371282077 0.2634508008435968 -1.280806116519566 0.044479684752072396 0.2421071991481736 0.40431807502107325 0.0 40.0 0.0 -89.46196663966434 9.23484300780674
-2.572448057454207 0.21192264180920953 0.2547824088024768 -1.6656919254243236 0.030213362191098703 0.30536143408854843 0.3078019518595752 0.0 40.0 0.0 -89.35829892494256 8.43917905971251
-2.0308110432478883 0.1373792047148586 0.29474477138851196 -1.499130190934776 0.04208463194873015 0.2647158555288318 0.32976974635756706 0.0 40.0 0.0 -89.33259811958517 9.050368422667667
-2.0778592050671163 0.24322124327624095 0.25828656635094704 -1.109666499716656 0.04542329079491006 0.21012286232197563 0.4090586166919749 0.0 40.0 0.0 -89.2107292267859 9.147860529978109
-2.046232293020487 0.14496231794313563 0.24303239463052526 -1.0020642165003113 0.0395966755536616 0.3822612640288472 0.39167908362932524 0.0 40.0 0.0 -89.15235788434126 9.409063232934784
-2.3848503829587195 0.17958757708254944 0.20011388751397663 -1.111179425848273 0.03346021526989719 0.2263432380467268 0.3807453761979361 0.0 40.0 0.0 -89.10064428003253 9.492089183844458
-2.1455782284157454 0.13005316780826695 0.1663126873884579 -1.1130050695532354 0.03403333884432153 0.32429161000178924 0.36437484437507556 0.0 40.0 0.0 -89.09711854822378 9.499010886147387
