log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-2.747867946882045 0.14077189162525966 0.22570008985268486 -1.1228167103406061 0.032560960452352586 0.21096339096827268 0.3929440552359106 0.0 40.0 0.0 -152.48202901373344 9.395405019229543
-2.976939393526909 0.12588174577727632 0.23847003083634566 -1.0772512489660115 0.03306983700402343 0.2041737429967929 0.447317993197909 0.0 40.0 0.0 -151.5242877903901 8.013796397552097
-2.9952351971334688 0.14891790425952087 0.29711950434748197 -1.0583801519182008 0.04287441918590421 0.21005401837257165 0.34096072472870886 0.0 40.0 0.0 -151.42410492677604 9.264270059484948
-2.4334494945339946 0.246365954919054 0.2311602727165059 -1.376372098663126 0.034214763258044484 0.21123485739287848 0.33466064794198197 0.0 40.0 0.0 -151.39445712804132 9.151944188707876
-2.3721954557845075 0.13710209155759645 0.2801569351866752 -1.2283031734020968 0.036515166371009496 0.20976031073790385 0.30686894635278095 0.0 40.0 0.0 -151.24789735533318 8.407609536109279
-1.9436159434373355 0.2373360198276229 0.2696941675213276 -1.448654277564898 0.035148634226002874 0.20035806804925427 0.3909002938347923 0.0 40.0 0.0 -151.2219163330275 9.417054011382772
-2.781269773226838 0.12368996119651572 0.25783471178913553 -1.3199277470767705 0.03129309985452643 0.20432805827340986 0.2748185197340851 0.0 40.0 0.0 -151.14214331203016 7.045510250144202
-2.7796905940334367 0.15649315735407832 0.262888462397121 -1.1567724548011267 0.033957088563777965 0.21021091398224315 0.34254716084826575 0.0 40.0 0.0 -151.13813698828895 9.289269269642146
-2.418256177456186 0.1633054881445775 0.22676397033084472 -1.1954258342931223 0.031440087144920845 0.20403725613897922 0.31222966580607614 0.0 40.0 0.0 -150.68511588485833 8.582763261329657
-2.529521367529139 0.22242230460171844 0.2976063081101626 -1.23946026404662 0.03799476030651874 0.20695464987468876 0.3903683332919044 0.0 40.0 0.0 -150.4512610035865 9.422329076944399
-2.3560851870947825 0.12594160611204183 0.28810961920323447 -1.300391898475681 0.03479625924631962 0.21381827189214214 0.3712929489260135 0.0 40.0 0.0 -150.4063704507084 9.51325958247864
-2.728387590909192 0.16607545980583 0.26042912881015057 -1.3396306427518954 0.03130493330313608 0.20998278235518322 0.4216651880033306 0.0 40.0 0.0 -150.2205716952942 8.859114402649297
-2.490583190500335 0.2107915803542575 0.28760446985859306 -1.5047231531018734 0.03339636625784118 0.2066096192648048 0.40424700474253716 0.0 40.0 0.0 -149.94808542116604 9.236057242782017
-2.2150665916744963 0.24396849907100804 0.228955765754197 -1.2949168821990544 0.03514917364040628 0.20301852002883844 0.3735222810540005 0.0 40.0 0.0 -149.87806645025637 9.512495553029275
-2.684748109176841 0.16455932583657282 0.2584665717911196 -1.2180147485842507 0.031216175196649033 0.2023575095920571 0.3944371851660293 0.0 40.0 0.0 -149.8510317313088 9.378201781953738
-2.7187830879148596 0.21548670201918832 0.29722751105288037 -1.3334209347815278 0.036864158427976204 0.2087820543973457 0.4089006790122479 0.0 40.0 0.0 -149.7801346322159 9.150948549764273
-2.245723605828835 0.24243862055932192 0.24563701805513882 -1.344970897313314 0.03258387233792309 0.20228090271966317 0.415629431317604 0.0 40.0 0.0 -149.73510968445547 9.007775517575293
-2.738791955151541 0.12119610467874893 0.2791812950756064 -1.173592856206671 0.03807525631720946 0.2145708499575444 0.3527586673389394 0.0 40.0 0.0 -149.73246783926268 9.418543526501532
