log10_mej_dyn vej_dyn Yedyn log10_mej_wind vej_wind Yewind inclination_EM timeshift luminosity_distance Ebv log_likelihood log_prior
-2.0437301534943835 0.24927865291303036 0.29164207815899745 -1.781185154590276 0.030063163675793942 0.2025571359719616 0.3133895156790771 0.0 40.0 0.0 -511.58007232749105 8.618673473977232
-1.95984855596267 0.24755477878427684 0.29796189543195484 -1.7785055266366059 0.030117013671561797 0.20198448404557626 0.34110419506290035 0.0 40.0 0.0 -509.13266468590746 9.266585247813707
-2.0461602194407456 0.24869063795115767 0.2970502467956744 -1.755757954922381 0.030225434148521094 0.20260643781408286 0.34002888384025476 0.0 40.0 0.0 -509.0549100812875 9.248969739319511
-2.0381040743785963 0.24874497897061937 0.29257908282979417 -1.7648702757327752 0.030048624617923365 0.20201149561832674 0.35630354948668214 0.0 40.0 0.0 -508.14289680583 9.450613723443821
-2.0298314860570894 0.24880765073380898 0.29496710758147227 -1.756845295383119 0.03008731858369997 0.20208898709281156 0.3696510581624723 0.0 40.0 0.0 -507.68417174046505 9.512153011706385
-1.99161261798109 0.24937093611772695 0.2976628998997013 -1.773470883992885 0.0303173073983601 0.20047381030810418 0.3550498532804257 0.0 40.0 0.0 -507.14364257322967 9.44002603436466
-1.9731833735699966 0.2491876150663793 0.2948554842320751 -1.7816831016953323 0.03021800742781324 0.20094644410925733 0.3454288361775129 0.0 40.0 0.0 -506.67880452361356 9.331297521221943
-2.0187545797196806 0.2479560300919363 0.29422636765847765 -1.781777176065817 0.03005026812685398 0.20198464152365192 0.3418157715819278 0.0 40.0 0.0 -506.61622114920914 9.277908206565847
-1.975366517005078 0.24739705665268819 0.2981095628088919 -1.7728255802058792 0.030106119495905907 0.20099558307464568 0.3840797975019916 0.0 40.0 0.0 -506.57845749718535 9.473423699018324
-2.0873891372964866 0.2480178206342351 0.29875586000696985 -1.773519563045405 0.030072452020703837 0.2026860443603823 0.3162047578457275 0.0 40.0 0.0 -506.08209524350355 8.70289744057888
-2.154447775677953 0.24980391174381275 0.29932242964202843 -1.7558284188131246 0.030066102829094846 0.2026072853788253 0.34291348595518506 0.0 40.0 0.0 -505.973628746351 9.294853988013177
-1.9476958624500533 0.2491935849832732 0.29532917938608927 -1.7811361984140401 0.03006734764142994 0.20018985118306518 0.39693540793679205 0.0 40.0 0.0 -505.97107274006873 9.34679956808653
-2.0354296901812674 0.24924244737025486 0.2989006612088856 -1.7660008124606366 0.03023903469428181 0.20172195806974796 0.375703694511824 0.0 40.0 0.0 -505.8769694566178 9.509221062444695
-2.057749629168046 0.24869853715009804 0.2972490037341098 -1.78037515835376 0.030046982717178504 0.20244919776568593 0.3683135390792463 0.0 40.0 0.0 -505.78663234116834 9.51020501238878
-2.081270338678257 0.24792813224787555 0.29885431118908334 -1.7558030960354833 0.030101178633925554 0.20305104688224668 0.3504826618585013 0.0 40.0 0.0 -505.75388465887283 9.39447338360981
-2.1042901352442334 0.2489767312030635 0.2979944907141155 -1.7693711332383908 0.030032662115964927 0.203610539947749 0.3492894898234327 0.0 40.0 0.0 -505.71936699389227 9.380767774952567
-1.990641550680203 0.24792247235381173 0.29696531208855986 -1.7715393049204944 0.03000459937258099 0.20254267275698792 0.37590806851725506 0.0 40.0 0.0 -505.7017794580365 9.508786225500858
-2.080839887232563 0.2496089080670221 0.29500872740428175 -1.7537126273814116 0.030122262040393626 0.20264004454493872 0.3403141670714108 0.0 40.0 0.0 -505.68543938242885 9.253702376319579
-2.0723976613681945 0.24959521178246885 0.29494608133774736 -1.7742302212753307 0.030106533073288425 0.2028425016690327 0.3364597406377894 0.0 40.0 0.0 -505.68183065887155 9.186147378122794
